,zipcode,N1,agi_stub
614,35218,190.0,3
615,35218,50.0,4
616,35218,30.0,5
617,35218,0.0,6
618,35221,990.0,1
619,35221,600.0,2
620,35221,160.0,3
621,35221,40.0,4
622,35221,20.0,5
623,35221,0.0,6
624,35222,1060.0,1
625,35222,900.0,2
626,35222,570.0,3
627,35222,360.0,4
628,35222,680.0,5
629,35222,430.0,6
630,35223,1030.0,1
631,35223,520.0,2
632,35223,430.0,3
633,35223,350.0,4
634,35223,1160.0,5
635,35223,1930.0,6
636,35224,1150.0,1
637,35224,680.0,2
638,35224,230.0,3
639,35224,80.0,4
640,35224,60.0,5
641,35224,0.0,6
642,35226,3660.0,1
643,35226,2650.0,2
644,35226,2250.0,3
645,35226,1900.0,4
646,35226,4450.0,5
647,35226,2190.0,6
648,35228,2270.0,1
649,35228,1480.0,2
650,35228,440.0,3
651,35228,140.0,4
652,35228,80.0,5
653,35228,0.0,6
654,35233,280.0,1
655,35233,210.0,2
656,35233,190.0,3
657,35233,90.0,4
658,35233,130.0,5
659,35233,70.0,6
660,35234,1090.0,1
661,35234,580.0,2
662,35234,130.0,3
663,35234,50.0,4
664,35234,30.0,5
665,35234,0.0,6
666,35235,3510.0,1
667,35235,3280.0,2
668,35235,1480.0,3
669,35235,710.0,4
670,35235,620.0,5
671,35235,70.0,6
672,35242,6140.0,1
673,35242,4520.0,2
674,35242,3070.0,3
675,35242,2340.0,4
676,35242,5870.0,5
677,35242,4640.0,6
678,35243,2180.0,1
679,35243,1820.0,2
680,35243,1440.0,3
681,35243,950.0,4
682,35243,1930.0,5
683,35243,1790.0,6
684,35244,4070.0,1
685,35244,3140.0,2
686,35244,2350.0,3
687,35244,1670.0,4
688,35244,4150.0,5
689,35244,2110.0,6
690,35401,5690.0,1
691,35401,2940.0,2
692,35401,800.0,3
693,35401,300.0,4
694,35401,350.0,5
695,35401,160.0,6
696,35404,3720.0,1
697,35404,2540.0,2
698,35404,930.0,3
699,35404,450.0,4
700,35404,470.0,5
701,35404,120.0,6
702,35405,7190.0,1
703,35405,5930.0,2
704,35405,2680.0,3
705,35405,1380.0,4
706,35405,1830.0,5
707,35405,350.0,6
708,35406,1680.0,1
709,35406,1100.0,2
710,35406,780.0,3
711,35406,660.0,4
712,35406,1700.0,5
713,35406,1310.0,6
714,35441,170.0,1
715,35441,140.0,2
716,35441,60.0,3
717,35441,40.0,4
718,35441,50.0,5
719,35441,0.0,6
720,35442,970.0,1
721,35442,590.0,2
722,35442,190.0,3
723,35442,80.0,4
724,35442,80.0,5
725,35442,30.0,6
726,35443,400.0,1
727,35443,230.0,2
728,35443,60.0,3
729,35443,20.0,4
730,35443,20.0,5
731,35443,0.0,6
732,35444,560.0,1
733,35444,450.0,2
734,35444,300.0,3
735,35444,170.0,4
736,35444,200.0,5
737,35444,20.0,6
738,35446,320.0,1
739,35446,250.0,2
740,35446,110.0,3
741,35446,80.0,4
742,35446,100.0,5
743,35446,0.0,6
744,35447,560.0,1
745,35447,360.0,2
746,35447,140.0,3
747,35447,80.0,4
748,35447,110.0,5
749,35447,20.0,6
750,35452,520.0,1
751,35452,440.0,2
752,35452,260.0,3
753,35452,170.0,4
754,35452,230.0,5
755,35452,40.0,6
756,35453,1800.0,1
757,35453,1470.0,2
758,35453,800.0,3
759,35453,480.0,4
760,35453,540.0,5
761,35453,80.0,6
762,35456,750.0,1
763,35456,580.0,2
764,35456,230.0,3
765,35456,160.0,4
766,35456,180.0,5
767,35456,30.0,6
768,35458,80.0,1
769,35458,60.0,2
770,35458,40.0,3
771,35458,20.0,4
772,35458,40.0,5
773,35458,0.0,6
774,35459,140.0,1
775,35459,110.0,2
776,35459,60.0,3
777,35459,0.0,4
778,35459,30.0,5
779,35459,0.0,6
780,35460,120.0,1
781,35460,80.0,2
782,35460,20.0,3
783,35460,20.0,4
784,35460,0.0,5
785,35460,0.0,6
786,35461,260.0,1
787,35461,190.0,2
788,35461,120.0,3
789,35461,80.0,4
790,35461,80.0,5
791,35461,0.0,6
792,35462,970.0,1
793,35462,580.0,2
794,35462,140.0,3
795,35462,90.0,4
796,35462,80.0,5
797,35462,20.0,6
798,35463,270.0,1
799,35463,260.0,2
800,35463,110.0,3
801,35463,70.0,4
802,35463,130.0,5
803,35463,0.0,6
804,35464,120.0,1
805,35464,50.0,2
806,35464,30.0,3
807,35464,0.0,4
808,35464,0.0,5
809,35464,0.0,6
